method,file,best_roi,hr,gt_hr,error_for_roi_forehead,error_for_roi_left_cheek,error_for_roi_right_cheek
pos,P1H1,left_cheek,126.5625,110.27384671935306,16.28865328064694,16.28865328064694,16.28865328064694
chrom,P1H1,left_cheek,126.5625,110.27384671935306,16.28865328064694,16.28865328064694,16.28865328064694
ica,P1H1,left_cheek,126.5625,110.27384671935306,16.28865328064694,16.28865328064694,16.28865328064694
green,P1H1,right_cheek,126.5625,110.27384671935306,16.28865328064694,16.28865328064694,16.28865328064694
pos,P1LC1,right_cheek,105.46875,66.5451705285082,10.798579471491806,3.2639205285081943,38.923579471491806
chrom,P1LC1,right_cheek,63.28125,66.5451705285082,3.2639205285081943,10.295170528508194,3.2639205285081943
ica,P1LC1,forehead,63.28125,66.5451705285082,3.2639205285081943,24.861079471491806,3.2639205285081943
green,P1LC1,left_cheek,63.28125,66.5451705285082,3.2639205285081943,3.2639205285081943,60.017329471491806
pos,P1LC2,right_cheek,63.28125,64.93304750365054,1.651797503650542,1.651797503650542,1.651797503650542
chrom,P1LC2,right_cheek,56.25,64.93304750365054,82.72320249634946,8.683047503650542,8.683047503650542
ica,P1LC2,right_cheek,63.28125,64.93304750365054,1.651797503650542,1.651797503650542,1.651797503650542
green,P1LC2,right_cheek,63.28125,64.93304750365054,1.651797503650542,1.651797503650542,1.651797503650542
pos,P1LC3,left_cheek,56.25,63.978432427810496,7.728432427810496,7.728432427810496,7.728432427810496
chrom,P1LC3,left_cheek,56.25,63.978432427810496,7.728432427810496,7.728432427810496,7.728432427810496
ica,P1LC3,left_cheek,56.25,63.978432427810496,7.728432427810496,7.728432427810496,20.396567572189504
green,P1LC3,left_cheek,56.25,63.978432427810496,7.728432427810496,7.728432427810496,7.728432427810496
pos,P1LC4,left_cheek,63.28125,63.88804380894432,0.6067938089443174,0.6067938089443174,0.6067938089443174
chrom,P1LC4,right_cheek,63.28125,63.88804380894432,0.6067938089443174,0.6067938089443174,0.6067938089443174
ica,P1LC4,right_cheek,63.28125,63.88804380894432,0.6067938089443174,55.64320619105568,0.6067938089443174
green,P1LC4,right_cheek,63.28125,63.88804380894432,0.6067938089443174,0.6067938089443174,0.6067938089443174
pos,P1LC5,left_cheek,56.25,62.059267109607475,5.809267109607475,5.809267109607475,5.809267109607475
chrom,P1LC5,left_cheek,56.25,62.059267109607475,5.809267109607475,5.809267109607475,5.809267109607475
ica,P1LC5,right_cheek,56.25,62.059267109607475,5.809267109607475,5.809267109607475,5.809267109607475
green,P1LC5,left_cheek,56.25,62.059267109607475,5.809267109607475,5.809267109607475,5.809267109607475
pos,P1LC6,left_cheek,63.28125,62.61311940517538,6.363119405175382,0.6681305948246177,6.363119405175382
chrom,P1LC6,left_cheek,56.25,62.61311940517538,0.6681305948246177,6.363119405175382,6.363119405175382
ica,P1LC6,left_cheek,56.25,62.61311940517538,0.6681305948246177,6.363119405175382,14.730630594824618
green,P1LC6,right_cheek,56.25,62.61311940517538,6.363119405175382,6.363119405175382,6.363119405175382
pos,P1LC7,right_cheek,63.28125,58.036621107919096,5.244628892080904,5.244628892080904,5.244628892080904
chrom,P1LC7,right_cheek,147.65625,58.036621107919096,89.6196288920809,5.244628892080904,89.6196288920809
ica,P1LC7,left_cheek,91.40625,58.036621107919096,5.244628892080904,33.369628892080904,5.244628892080904
green,P1LC7,left_cheek,63.28125,58.036621107919096,5.244628892080904,5.244628892080904,5.244628892080904
pos,P1M1,right_cheek,63.28125,65.57267638299115,2.2914263829911476,9.322676382991148,2.2914263829911476
chrom,P1M1,right_cheek,63.28125,65.57267638299115,2.2914263829911476,23.385176382991148,2.2914263829911476
ica,P1M1,forehead,56.25,65.57267638299115,9.322676382991148,23.385176382991148,23.385176382991148
green,P1M1,left_cheek,49.21875,65.57267638299115,2.2914263829911476,16.353926382991148,18.802323617008852
pos,P1M2,left_cheek,63.28125,63.692389349217116,55.838860650782884,0.41113934921711603,0.41113934921711603
chrom,P1M2,left_cheek,63.28125,63.692389349217116,55.838860650782884,0.41113934921711603,0.41113934921711603
ica,P1M2,forehead,63.28125,63.692389349217116,0.41113934921711603,0.41113934921711603,0.41113934921711603
green,P1M2,forehead,63.28125,63.692389349217116,0.41113934921711603,0.41113934921711603,0.41113934921711603
pos,P1M3,right_cheek,91.40625,63.297267820831024,0.01601782083102421,28.108982179168976,28.108982179168976
chrom,P1M3,forehead,91.40625,63.297267820831024,28.108982179168976,28.108982179168976,28.108982179168976
ica,P1M3,left_cheek,91.40625,63.297267820831024,28.108982179168976,28.108982179168976,28.108982179168976
green,P1M3,right_cheek,91.40625,63.297267820831024,28.108982179168976,28.108982179168976,28.108982179168976
pos,P2LC1,right_cheek,84.375,104.4165524331734,13.010302433173393,27.072802433173393,20.041552433173393
chrom,P2LC1,right_cheek,49.21875,104.4165524331734,22.145947566826607,27.072802433173393,55.19780243317339
ica,P2LC1,left_cheek,77.34375,104.4165524331734,27.072802433173393,27.072802433173393,20.041552433173393
green,P2LC1,right_cheek,126.5625,104.4165524331734,22.145947566826607,1.0521975668266066,22.145947566826607
pos,P2LC2,left_cheek,119.53125,101.72576294322208,24.38201294322208,17.80548705677792,24.38201294322208
chrom,P2LC2,left_cheek,126.5625,101.72576294322208,24.38201294322208,24.83673705677792,31.41326294322208
ica,P2LC2,forehead,84.375,101.72576294322208,17.35076294322208,31.41326294322208,3.2882629432220796
green,P2LC2,left_cheek,98.4375,101.72576294322208,3.2882629432220796,3.2882629432220796,3.2882629432220796
pos,P2LC3,left_cheek,91.40625,97.97689761742983,0.4606023825701726,6.570647617429827,27.664397617429827
chrom,P2LC3,right_cheek,70.3125,97.97689761742983,27.664397617429827,20.633147617429827,27.664397617429827
ica,P2LC3,forehead,70.3125,97.97689761742983,27.664397617429827,20.633147617429827,27.664397617429827
green,P2LC3,right_cheek,98.4375,97.97689761742983,0.4606023825701726,0.4606023825701726,0.4606023825701726
pos,P2LC4,left_cheek,84.375,102.5330062567184,4.095506256718394,18.158006256718394,4.095506256718394
chrom,P2LC4,right_cheek,91.40625,102.5330062567184,4.095506256718394,18.158006256718394,11.126756256718394
ica,P2LC4,right_cheek,91.40625,102.5330062567184,11.126756256718394,4.095506256718394,11.126756256718394
green,P2LC4,forehead,98.4375,102.5330062567184,4.095506256718394,4.095506256718394,4.095506256718394
pos,P2LC5,left_cheek,84.375,102.33538850465587,17.960388504655867,17.960388504655867,10.929138504655867
chrom,P2LC5,right_cheek,126.5625,102.33538850465587,3.8978885046558673,24.227111495344133,24.227111495344133
ica,P2LC5,left_cheek,91.40625,102.33538850465587,17.195861495344133,10.929138504655867,24.227111495344133
green,P2LC5,right_cheek,98.4375,102.33538850465587,3.8978885046558673,3.8978885046558673,3.8978885046558673
