roi_a,roi_b,mode,videos,n_windows,median_global_lag_ms,median_global_r,median_residual_lag_ms,median_iqr_lag_ms,median_abs_residual_lag_ms,mean_abs_residual_lag_ms,mode_abs_residual_lag_ms,median_rms_residual_lag_ms,mean_pct_within_1frame,mean_pct_high_r
forehead,chin,filtered,8,506,16.666666666666668,0.7579693690143547,33.333333333333336,41.66666666666667,41.66666666666667,42.44678053463415,16.517857142857142,54.64442127204814,35.491370350124605,58.85431589013372
forehead,chin,unfiltered,8,665,8.333333333333334,0.6418658016777706,8.333333333333334,18.75,16.666666666666668,25.100792074866522,17.07175925925926,38.16306486845818,57.85445646249685,10.951972255797296
forehead,left_cheek,filtered,7,454,16.666666666666668,0.7937096689114502,33.333333333333336,33.333333333333336,33.333333333333336,36.7410337461799,17.857142857142854,41.68078856731505,37.00067662120528,54.66379821573711
forehead,left_cheek,unfiltered,8,665,8.333333333333334,0.6383011946839983,8.333333333333334,25.0,33.333333333333336,23.31475717255065,33.333333333333336,32.28689434801314,57.50639855847349,3.2455632716049383
forehead,right_cheek,filtered,9,558,16.666666666666668,0.7658645463306013,33.333333333333336,33.33333333333333,33.333333333333336,36.34913560944969,35.714285714285715,43.38414350942031,41.94206045685917,43.59879658318236
forehead,right_cheek,unfiltered,9,753,0.0,0.5744935367292472,0.0,16.666666666666668,16.666666666666668,27.12071818589051,15.625,31.36552719621171,57.6873505841147,2.0583083083083085
left_cheek,chin,filtered,7,491,0.0,0.7551337889148235,0.0,33.333333333333336,16.666666666666668,30.70118744035408,19.444444444444446,37.71682545706787,48.42022765771004,41.36258030389141
left_cheek,chin,unfiltered,6,602,0.0,0.5478577056734237,0.0,33.333333333333336,16.666666666666668,23.115163005793963,16.39093137254902,31.48684331664746,63.40788238592997,0.0
left_cheek,right_cheek,filtered,7,491,0.0,0.7971981409832277,0.0,25.0,16.666666666666668,20.86781455792023,5.208333333333333,24.955156914570274,67.02765671166898,47.045837879168346
left_cheek,right_cheek,unfiltered,6,610,0.0,0.6183603603308343,0.0,29.166666666666664,16.666666666666668,22.944540771542446,16.666666666666668,30.745661249098195,60.05138349775701,4.947518276253577
right_cheek,chin,filtered,7,457,0.0,0.7501012750962276,0.0,50.0,33.333333333333336,38.86538443252237,15.625,42.56958200604408,39.03623198714609,36.79459101402171
right_cheek,chin,unfiltered,5,493,16.666666666666668,0.5491649836084546,33.333333333333336,33.33333333333333,33.333333333333336,35.10122622528778,31.25,42.31346172206064,36.932312122176214,1.204335608189482
