file,best_roi,hr,gt_hr,error_for_roi_forehead,error_for_roi_left_cheek,error_for_roi_right_cheek
20241203_152904.mp4,right_cheek,42.1875,95.0,52.8125,52.8125,52.8125
20241203_111907.mp4,left_cheek,49.21875,52.0,16.84375,2.78125,2.78125
2024-11-28 at 10.06.20.mp4,right_cheek,42.1875,85.0,49.84375,42.8125,42.8125
2024-11-28 at 10.10.37.mp4,left_cheek,42.1875,95.0,45.78125,52.8125,59.84375
2024-11-28 at 10.16.37.mp4,right_cheek,42.1875,68.0,18.78125,25.8125,25.8125
2024-11-28 at 10.32.50.mp4,right_cheek,70.3125,75.0,4.6875,2.34375,4.6875
2024-11-28 at 10.34.52.mp4,left_cheek,70.3125,69.0,1.3125,1.3125,12.75
2024-11-28 at 11.54.15.mp4,left_cheek,35.15625,90.0,33.75,54.84375,33.75
2024-11-28 at 16.13.38.mp4,left_cheek,42.1875,68.0,4.71875,25.8125,18.78125
2024-11-28 at 16.19.35.mp4,right_cheek,35.15625,56.0,20.84375,13.8125,20.84375
2024-11-28 at 16.20.48.mp4,right_cheek,49.21875,60.0,24.84375,24.84375,10.78125
2024-11-28 at 16.26.58.mp4,left_cheek,42.1875,65.0,15.78125,22.8125,22.8125
2024-12-03 at 13.08.04.mp4,right_cheek,42.1875,61.0,18.8125,18.8125,18.8125
2024-12-03 at 14.23.29.mp4,right_cheek,35.15625,67.0,10.75,10.75,31.84375
2024-12-03 at 15.32.07.mp4,left_cheek,42.1875,96.0,53.8125,53.8125,53.8125
IMG_9575.mp4,left_cheek,35.15625,66.0,2.71875,30.84375,30.84375
IMG_6020.mp4,left_cheek,63.28125,71.0,7.71875,7.71875,0.6875
Video.mov,left_cheek,56.25,60.0,3.28125,3.75,17.8125
20241206_104904.mp4,right_cheek,119.53125,62.0,5.75,5.75,57.53125
