pair,dataset,video_id,gt_hr_bpm,roi_a,hr_a,err_a,roi_b,hr_b,err_b
forehead|left_cheek,DATASET_1,10-gt,72.40833959429001,forehead,77.34375,4.9354104057099875,left_cheek,77.34375,4.9354104057099875
forehead|left_cheek,DATASET_1,11-gt,77.70466840312562,forehead,84.375,6.670331596874377,left_cheek,84.375,6.670331596874377
forehead|left_cheek,DATASET_1,12-gt,94.57115347583286,forehead,98.4375,3.8663465241671418,left_cheek,98.4375,3.8663465241671418
forehead|left_cheek,DATASET_1,5-gt,77.31705916140149,forehead,77.34375,0.026690838598511846,left_cheek,77.34375,0.026690838598511846
forehead|left_cheek,DATASET_1,6-gt,82.57338212634822,forehead,91.40625,8.832867873651779,left_cheek,91.40625,8.832867873651779
forehead|left_cheek,DATASET_1,7-gt,94.6833073322933,forehead,98.4375,3.754192667706704,left_cheek,98.4375,3.754192667706704
forehead|left_cheek,DATASET_1,8-gt,68.1259825327511,forehead,63.28125,4.844732532751095,left_cheek,63.28125,4.844732532751095
forehead|left_cheek,DATASET_1,after-exercise,113.85665388828039,forehead,112.5,1.3566538882803911,left_cheek,112.5,1.3566538882803911
forehead|left_cheek,DATASET_2,subject1,106.70456819650937,forehead,112.5,5.795431803490629,left_cheek,112.5,5.795431803490629
forehead|left_cheek,DATASET_2,subject10,109.80887351778657,forehead,119.53125,9.722376482213434,left_cheek,119.53125,9.722376482213434
forehead|left_cheek,DATASET_2,subject12,65.96596229260935,forehead,70.3125,4.346537707390652,left_cheek,70.3125,4.346537707390652
forehead|left_cheek,DATASET_2,subject13,107.10137115956393,forehead,112.5,5.398628840436075,left_cheek,112.5,5.398628840436075
forehead|left_cheek,DATASET_2,subject15,115.78668316831684,forehead,112.5,3.2866831683168414,left_cheek,112.5,3.2866831683168414
forehead|left_cheek,DATASET_2,subject16,91.79846341463414,forehead,91.40625,0.39221341463414205,left_cheek,91.40625,0.39221341463414205
forehead|left_cheek,DATASET_2,subject17,85.40310312805475,forehead,84.375,1.0281031280547523,left_cheek,84.375,1.0281031280547523
forehead|left_cheek,DATASET_2,subject22,101.79305561023622,forehead,105.46875,3.675694389763777,left_cheek,105.46875,3.675694389763777
forehead|left_cheek,DATASET_2,subject23,63.28856843718079,forehead,63.28125,0.007318437180792614,left_cheek,63.28125,0.007318437180792614
forehead|left_cheek,DATASET_2,subject3,101.17044419766795,forehead,91.40625,9.764194197667948,left_cheek,91.40625,9.764194197667948
