dataset,roi_a,roi_b,mode,videos,n_windows,median_global_lag_ms,median_global_r,median_residual_lag_ms,median_iqr_lag_ms,median_abs_residual_lag_ms,mean_abs_residual_lag_ms,mode_abs_residual_lag_ms,median_rms_residual_lag_ms,mean_pct_within_1frame,mean_pct_over_1frame,mean_pct_over_2frames,mean_pct_high_r
DATASET_1,forehead,chin,filtered,7,509,33.333333333333336,0.8780166797692951,66.66666666666667,33.33333333333333,66.66666666666667,52.17770715116861,66.66666666666666,61.66698388447786,38.06669019712329,61.93330980287671,11.604997214927986,84.05109548001381
DATASET_1,forehead,chin,unfiltered,6,437,33.333333333333336,0.8239029446980168,66.66666666666667,33.33333333333333,66.66666666666667,56.29931437351461,67.55952380952381,62.74772886745019,32.662385552137856,67.33761444786214,12.380403108305003,73.98389953061545
DATASET_1,forehead,left_cheek,filtered,8,598,33.333333333333336,0.8918484483296412,66.66666666666667,0.0,66.66666666666667,50.76928607388201,65.625,63.957484967954315,42.337671439078925,57.662328560921075,8.684238796416832,87.25349162134808
DATASET_1,forehead,left_cheek,unfiltered,8,603,33.333333333333336,0.8172297004481133,66.66666666666667,0.0,66.66666666666667,45.47632427528293,65.625,63.58101309625411,44.16314769322593,55.83685230677407,4.807374600161693,60.89079366530504
DATASET_1,forehead,right_cheek,filtered,7,526,33.333333333333336,0.9124057024785868,66.66666666666667,33.333333333333336,66.66666666666667,60.41233844692249,64.58333333333334,61.864048475889135,34.49415557499413,65.50584442500588,15.248796147672552,95.51853087166089
DATASET_1,forehead,right_cheek,unfiltered,7,531,33.333333333333336,0.8263397933023653,66.66666666666667,33.333333333333336,66.66666666666667,57.90562063432254,64.58333333333334,59.64557227103489,38.37025554530553,61.62974445469447,15.834798338811181,64.77933154691593
DATASET_1,left_cheek,chin,filtered,6,432,0.0,0.8102364564310778,0.0,33.333333333333336,16.666666666666668,30.952603674229266,16.81547619047619,34.29845335675291,75.12850753463086,24.871492465369148,7.3203363914373085,77.17123490216282
DATASET_1,left_cheek,chin,unfiltered,3,178,0.0,0.8222764127628843,0.0,0.0,0.0,7.823584454019237,2.380952380952381,18.00205749557739,99.03381642512078,0.966183574879227,0.0,79.00019584802193
DATASET_1,left_cheek,right_cheek,filtered,7,527,0.0,0.8500115473930503,0.0,0.0,0.0,9.756103032438741,2.380952380952381,16.85935129529577,99.43249239023886,0.5675076097611308,0.0,85.66463751621656
DATASET_1,left_cheek,right_cheek,unfiltered,5,381,0.0,0.7689262167177512,0.0,0.0,0.0,8.689482865499697,2.0833333333333335,15.066558822210542,99.16666666666667,0.8333333333333333,0.0,55.746249309362916
DATASET_1,right_cheek,chin,filtered,5,361,0.0,0.8572295620826256,0.0,33.333333333333336,0.0,11.312361389297951,2.380952380952381,18.910287631039182,99.77011494252874,0.22988505747126436,0.0,86.68588563968436
DATASET_1,right_cheek,chin,unfiltered,5,385,0.0,0.7465980970472643,0.0,25.0,0.0,11.86315903557283,4.166666666666667,21.350420507344953,98.33775419982317,1.6622458001768343,0.0,54.548291720705514
DATASET_2,forehead,chin,filtered,23,1922,33.333333333333336,0.8114763583858786,33.333333333333336,33.333333333333336,33.333333333333336,40.16799479098814,37.03703703703704,51.98752449100364,62.316478144717806,37.683521855282194,9.53150446472427,73.91014719333043
DATASET_2,forehead,chin,unfiltered,12,977,33.333333333333336,0.7592283082023226,33.333333333333336,33.333333333333336,33.333333333333336,37.4408246585139,36.458333333333336,51.058040335256756,62.06555105854994,37.93444894145005,3.4382152506957264,38.73693291402717
DATASET_2,forehead,left_cheek,filtered,30,2545,33.333333333333336,0.8676820245164982,50.0,33.333333333333336,50.0,40.197284425222755,50.892857142857146,53.29022359239667,58.2986383606141,41.7013616393859,6.787049002058989,81.86197987077388
DATASET_2,forehead,left_cheek,unfiltered,25,2125,33.333333333333336,0.7967557784264067,33.333333333333336,33.333333333333336,33.333333333333336,34.73129470164715,31.25,51.08070528032166,64.50340871201882,35.49659128798118,3.5014520273616863,56.54220516687761
DATASET_2,forehead,right_cheek,filtered,30,2538,33.333333333333336,0.8606185180171675,66.66666666666667,33.333333333333336,66.66666666666667,42.0845163043057,62.5,54.42052944974573,54.49801083378998,45.50198916621002,6.216171707375637,81.50386237657443
DATASET_2,forehead,right_cheek,unfiltered,22,1831,33.333333333333336,0.7969310672387401,33.333333333333336,16.666666666666668,33.333333333333336,35.14122218121559,36.60714285714286,51.77694043350691,63.505135174534935,36.494864825465065,4.965313430932103,56.00899049729328
DATASET_2,left_cheek,chin,filtered,18,1556,0.0,0.775940299817292,0.0,33.333333333333336,8.333333333333334,28.235683062369414,4.166666666666667,25.75086188209189,80.80599947621471,19.194000523785295,4.356664760434409,61.33779099667865
DATASET_2,left_cheek,chin,unfiltered,3,265,0.0,0.7280989167066461,0.0,33.333333333333336,0.0,25.41603366685875,4.166666666666667,22.24970797449924,77.88778877887789,22.112211221122113,1.6501650165016502,27.146524176227146
DATASET_2,left_cheek,right_cheek,filtered,25,2143,0.0,0.8163570534861911,0.0,33.333333333333336,0.0,19.462044035931704,4.166666666666667,23.570226039551585,88.35691946086676,11.643080539133239,0.8927072927072927,72.03163263515779
DATASET_2,left_cheek,right_cheek,unfiltered,11,967,0.0,0.7713107036906273,0.0,0.0,0.0,7.629597673165748,2.0833333333333335,16.47172818672541,99.43685823342831,0.5631417665716897,0.0,44.98257280386653
DATASET_2,right_cheek,chin,filtered,19,1552,0.0,0.7834785568476678,0.0,33.333333333333336,33.333333333333336,30.70725518106284,6.25,30.7453025979709,76.83599310673823,23.164006893261774,5.850820619031786,59.39080829444637
DATASET_2,right_cheek,chin,unfiltered,5,471,0.0,0.7125801371109186,0.0,33.333333333333336,0.0,28.264821598154935,4.166666666666667,27.21655269759087,74.59198209198209,25.40801790801791,0.2197802197802198,30.533984533984533
